URL,Aliases,Read Only,Is Down?
https://beanpaste.fun,,No,No
https://bpa.st,,No,No
https://cl1p.net,,No,No
https://codebeautify.org,,No,No
https://codepen.io,,No,No
https://codeshare.io,,No,No
https://commie.io,,No,No
https://controlc.com,"pasted.co, tny.cz",No,No
https://crow.ac,,No,Yes
http://cutapaste.net,,No,No
https://defuse.ca/pastebin.htm,,No,No
https://dotnetfiddle.net,,No,No
https://dpaste.com,,No,No
https://dpaste.org,,No,No
http://everfall.com/paste/,,No,No
https://fragbin.com,,No,No
https://friendpaste.com,,No,No
https://gist.github.com,,No,No
https://gistpad.com,,No,No
https://gitlab.com/explore/snippets,,No,No
https://hastebin.com,,No,No
https://hastebin.dev,,No,No
https://ideone.com,,No,No
https://invent.kde.org/explore/snippets,,No,No
https://ivpaste.com,,No,No
http://jsbin.com,,No,No
https://jsfiddle.net,,No,No
http://jsitor.com,,No,No
https://justpaste.it,jpst.it,No,No
https://justpaste.me,,No,No
https://kpaste.net,,No,No
https://lesma.eu,,No,No
https://macrobin.co,,No,Yes
https://n0paste.tk,,No,No
https://nekobin.com,,No,No
https://notes.io,,No,No
https://p.ip.fi,,No,No
https://paste.centos.org,,No,No
https://paste.debian.net,,No,No
https://paste.ee,,No,No
https://paste.js.org,,No,No
https://paste.jp,,No,No
https://paste.mod.gg/,,No,No
https://paste.monster,,No,No
https://paste.myst.rs,paste.ax,No,No
https://paste.ofcode.org,,No,No
http://paste.opensuse.org,,No,No
http://paste.org.ru,,No,No
http://paste.rohitab.com,,No,Yes
https://paste.sh,,No,No
https://paste.ubuntu.com,,No,No
http://paste.xinu.at,,No,No
https://paste2.org,,No,No
https://paste-bin.xyz,,No,No
https://pastebin.com,,No,No
https://pastebin.fi,,No,No
https://pastebin.fr,,No,No
https://pastebin.osuosl.org,,No,No
https://pastecode.io,,No,No
https://pastelink.net,,No,No
https://pastes.io,"pastebin.ai, pastesio.com, pastejustit.com",No,No
http://pastie.org,,No,No
https://quickhighlighter.com,,No,No
https://rentry.co/,,No,No
https://repl.it,,No,No
https://snippet.host,,No,No
https://snipplr.com,,No,No
https://termbin.com,,No,No
https://tutpaste.com,,No,No
http://vpaste.net,,No,Yes
https://www.paste4btc.com,,No,Yes
https://www.pastebin.pt,,No,No
https://xi.pe,,No,No
https://bitbin.it,,Yes,No
http://paste.frubar.net/,,Yes,No
http://paste.pound-python.org,,Yes,No
https://www.geany.org/p/,,Yes,No
https://99paste.com,,No,Yes
https://apaste.info,,No,Yes
http://codepad.org,,No,Yes
https://dumpz.org,,No,Yes
https://ghostbin.com,,No,Yes
https://ide.geeksforgeeks.org,,No,Yes
https://nopaste.me,,No,Yes
http://paste.lisp.org,,No,Yes
https://paste.mozilla.org,pastebin.mozilla.org,No,Yes
https://paste.scratchbook.ch,,No,Yes
http://paste.strictfp.com,,No,Yes
https://pasteall.org,,No,Yes
https://pastebin.icoder.uz,,No,Yes
https://pastecode.fr,,No,Yes
https://pastecode.ru,,No,Yes
https://pastefs.com,,No,Yes
https://pasteio.com,,No,Yes
https://pastesqf.com,,No,Yes
http://phpfiddle.org,,No,Yes
https://pst.klgrth.io,,No,Yes
https://slexy.org,,No,Yes
http://sprunge.us,,No,Yes
https://textsnip.com,,No,Yes
https://www.heypasteit.com,,No,Yes
https://www.paste.lv,,No,Yes
